id,session,session_seq,visit_id,trial,trial_type,response_time,accuracy
316,2,2,316_2_2023-10-06,11,NORMAL,2149,1
316,2,2,316_2_2023-10-06,12,LURE,1772,1
316,2,2,316_2_2023-10-06,13,NORMAL,1925,1
316,2,2,316_2_2023-10-06,14,LURE,3687,1
316,2,2,316_2_2023-10-06,15,NORMAL,2136,1
316,2,2,316_2_2023-10-06,16,NORMAL,3301,1
316,2,2,316_2_2023-10-06,17,LURE,1682,1
316,2,2,316_2_2023-10-06,18,NORMAL,2700,1
316,3,3,316_3_2023-10-06,1,LURE,4085,1
316,3,3,316_3_2023-10-06,2,LURE,2322,1
316,3,3,316_3_2023-10-06,3,LURE,2817,1
316,3,3,316_3_2023-10-06,4,LURE,3870,1
316,3,3,316_3_2023-10-06,5,NORMAL,2333,1
316,3,3,316_3_2023-10-06,6,NORMAL,2087,1
316,3,3,316_3_2023-10-06,7,NORMAL,4485,1
316,3,3,316_3_2023-10-06,8,LURE,1967,1
316,3,3,316_3_2023-10-06,9,NORMAL,2936,1
316,3,3,316_3_2023-10-06,10,LURE,2232,1
316,3,3,316_3_2023-10-06,11,NORMAL,2367,1
316,3,3,316_3_2023-10-06,12,NORMAL,1934,1
316,3,3,316_3_2023-10-06,13,LURE,2234,1
316,3,3,316_3_2023-10-06,14,NORMAL,2949,1
316,3,3,316_3_2023-10-06,15,LURE,2051,1
316,3,3,316_3_2023-10-06,16,NORMAL,2132,1
316,3,3,316_3_2023-10-06,17,LURE,4067,1
316,3,3,316_3_2023-10-06,18,NORMAL,1969,1
317,1,1,317_1_2023-10-13,1,LURE,3616,1
317,1,1,317_1_2023-10-13,2,NORMAL,3891,1
317,1,1,317_1_2023-10-13,3,NORMAL,5453,1
317,1,1,317_1_2023-10-13,4,LURE,3286,1
317,1,1,317_1_2023-10-13,5,NORMAL,2767,1
317,1,1,317_1_2023-10-13,6,LURE,1662,1
317,1,1,317_1_2023-10-13,7,NORMAL,4135,1
317,1,1,317_1_2023-10-13,8,NORMAL,4545,1
