id,session,session_seq,visit_id,trial,dot,distance
324,3,3,324_3_2024-02-28,3,3,0
325,1,1,325_1_2024-02-22,1,1,0
325,1,1,325_1_2024-02-22,1,2,5
325,1,1,325_1_2024-02-22,1,3,0
325,1,1,325_1_2024-02-22,2,1,0
325,1,1,325_1_2024-02-22,2,2,5
325,1,1,325_1_2024-02-22,2,3,0
325,1,1,325_1_2024-02-22,3,1,0
325,1,1,325_1_2024-02-22,3,2,7.0710678118654755
325,1,1,325_1_2024-02-22,3,3,0
325,2,2,325_2_2024-02-22,1,1,0
325,2,2,325_2_2024-02-22,1,2,0
325,2,2,325_2_2024-02-22,1,3,5
325,2,2,325_2_2024-02-22,2,1,0
325,2,2,325_2_2024-02-22,2,2,0
325,2,2,325_2_2024-02-22,2,3,0
325,2,2,325_2_2024-02-22,3,1,0
325,2,2,325_2_2024-02-22,3,2,0
325,2,2,325_2_2024-02-22,3,3,5
325,3,3,325_3_2024-02-22,1,1,0
325,3,3,325_3_2024-02-22,1,2,0
325,3,3,325_3_2024-02-22,1,3,5
325,3,3,325_3_2024-02-22,2,1,5
325,3,3,325_3_2024-02-22,2,2,0
325,3,3,325_3_2024-02-22,2,3,5
325,3,3,325_3_2024-02-22,3,1,0
325,3,3,325_3_2024-02-22,3,2,0
325,3,3,325_3_2024-02-22,3,3,0
326,1,1,326_1_2024-03-11,1,1,0
326,1,1,326_1_2024-03-11,1,2,5
326,1,1,326_1_2024-03-11,1,3,5
326,1,1,326_1_2024-03-11,2,1,5
326,1,1,326_1_2024-03-11,2,2,5
326,1,1,326_1_2024-03-11,2,3,0
326,1,1,326_1_2024-03-11,3,1,0
326,1,1,326_1_2024-03-11,3,2,0
326,1,1,326_1_2024-03-11,3,3,0
326,2,2,326_2_2024-03-11,1,1,5
326,2,2,326_2_2024-03-11,1,2,0
326,2,2,326_2_2024-03-11,1,3,0
326,2,2,326_2_2024-03-11,2,1,0
326,2,2,326_2_2024-03-11,2,2,0
326,2,2,326_2_2024-03-11,2,3,0
326,2,2,326_2_2024-03-11,3,1,0
326,2,2,326_2_2024-03-11,3,2,0
326,2,2,326_2_2024-03-11,3,3,0
326,3,3,326_3_2024-03-11,1,1,5
326,3,3,326_3_2024-03-11,1,2,5
326,3,3,326_3_2024-03-11,1,3,5
326,3,3,326_3_2024-03-11,2,1,0
326,3,3,326_3_2024-03-11,2,2,0
326,3,3,326_3_2024-03-11,2,3,5
326,3,3,326_3_2024-03-11,3,1,0
326,3,3,326_3_2024-03-11,3,2,0
326,3,3,326_3_2024-03-11,3,3,5
327,1,1,327_1_2024-03-14,1,1,11.180339887498949
327,1,1,327_1_2024-03-14,1,2,0
327,1,1,327_1_2024-03-14,1,3,5
327,1,1,327_1_2024-03-14,2,1,0
327,1,1,327_1_2024-03-14,2,2,0
327,1,1,327_1_2024-03-14,2,3,0
327,1,1,327_1_2024-03-14,3,1,5
327,1,1,327_1_2024-03-14,3,2,5
327,1,1,327_1_2024-03-14,3,3,0
327,2,2,327_2_2024-03-14,1,1,5
327,2,2,327_2_2024-03-14,1,2,10
327,2,2,327_2_2024-03-14,1,3,5
327,2,2,327_2_2024-03-14,2,1,0
327,2,2,327_2_2024-03-14,2,2,0
327,2,2,327_2_2024-03-14,2,3,7.0710678118654755
327,2,2,327_2_2024-03-14,3,1,5
327,2,2,327_2_2024-03-14,3,2,5
327,2,2,327_2_2024-03-14,3,3,10
327,3,3,327_3_2024-03-14,1,1,0
327,3,3,327_3_2024-03-14,1,2,10
327,3,3,327_3_2024-03-14,1,3,0
327,3,3,327_3_2024-03-14,2,1,7.0710678118654755
327,3,3,327_3_2024-03-14,2,2,7.0710678118654755
327,3,3,327_3_2024-03-14,2,3,11.180339887498949
327,3,3,327_3_2024-03-14,3,1,5
327,3,3,327_3_2024-03-14,3,2,7.0710678118654755
327,3,3,327_3_2024-03-14,3,3,0
328,1,1,328_1_2024-03-26,1,1,0
328,1,1,328_1_2024-03-26,1,2,0
328,1,1,328_1_2024-03-26,1,3,0
328,1,1,328_1_2024-03-26,2,1,7.0710678118654755
328,1,1,328_1_2024-03-26,2,2,5
328,1,1,328_1_2024-03-26,2,3,5
328,1,1,328_1_2024-03-26,3,1,0
328,1,1,328_1_2024-03-26,3,2,5
328,1,1,328_1_2024-03-26,3,3,7.0710678118654755
328,2,2,328_2_2024-03-26,1,1,5
328,2,2,328_2_2024-03-26,1,2,10
328,2,2,328_2_2024-03-26,1,3,7.0710678118654755
328,2,2,328_2_2024-03-26,2,1,5
328,2,2,328_2_2024-03-26,2,2,5
328,2,2,328_2_2024-03-26,2,3,0
328,2,2,328_2_2024-03-26,3,1,5
328,2,2,328_2_2024-03-26,3,2,5
328,2,2,328_2_2024-03-26,3,3,5
328,3,3,328_3_2024-03-26,1,1,0
328,3,3,328_3_2024-03-26,1,2,7.0710678118654755
328,3,3,328_3_2024-03-26,1,3,11.180339887498949
328,3,3,328_3_2024-03-26,2,1,0
328,3,3,328_3_2024-03-26,2,2,0
328,3,3,328_3_2024-03-26,2,3,0
328,3,3,328_3_2024-03-26,3,1,7.0710678118654755
328,3,3,328_3_2024-03-26,3,2,5
328,3,3,328_3_2024-03-26,3,3,5
329,1,1,329_1_2024-04-02,1,1,5
329,1,1,329_1_2024-04-02,1,2,7.0710678118654755
329,1,1,329_1_2024-04-02,1,3,7.0710678118654755
329,1,1,329_1_2024-04-02,2,1,5
329,1,1,329_1_2024-04-02,2,2,7.0710678118654755
329,1,1,329_1_2024-04-02,2,3,5
329,1,1,329_1_2024-04-02,3,1,10
329,1,1,329_1_2024-04-02,3,2,10
329,1,1,329_1_2024-04-02,3,3,5
329,2,2,329_2_2024-04-02,1,1,15.811388300841896
329,2,2,329_2_2024-04-02,1,2,5
329,2,2,329_2_2024-04-02,1,3,0
329,2,2,329_2_2024-04-02,2,1,7.0710678118654755
329,2,2,329_2_2024-04-02,2,2,7.0710678118654755
329,2,2,329_2_2024-04-02,2,3,7.0710678118654755
329,2,2,329_2_2024-04-02,3,1,10
329,2,2,329_2_2024-04-02,3,2,5
329,2,2,329_2_2024-04-02,3,3,10
329,3,3,329_3_2024-04-02,1,1,18.027756377319946
329,3,3,329_3_2024-04-02,1,2,5
329,3,3,329_3_2024-04-02,1,3,5
329,3,3,329_3_2024-04-02,2,1,0
329,3,3,329_3_2024-04-02,2,2,0
